8:50-9:00,Opening Remarks,
"Disk Observation I session, chaired by:Yangin Wu",,
9:00-9:20,Ruobing DONG ,Some recent JWST and ALMA observations of protoplanetary disks
9:20-9:40,Daniel HARSONO,Composition of planet forming disks from ALMA and JWST
9:40-9:55, Haifeng YANG,Eccentric dust ring and scattering induced polarization in the IRS 48 transition disk
9:55-10:10,Takayuki MUTO,Methods to explore the disk asymmetries and its application to a young protoplanetary disk
 10:10-10:50,Coffee/Tea Break,
"Exoplanet Atmosphere I session, chaired by:Shigeru lda",,
10:50-11:10,Jun YANG,Cloud behaviour on tidally locked rocky exoplanets
11:10-11:30, Fei YAN,Characterizing the dayside atmospheres of ultra-hot Jupiters
11:30-11:45,Xianyu TAN,Meteorology of brown dwarfs
11:45-12:00, Xing WEI,Hot Jupiters' radius anomaly and exomoons' retention
12:00-14:10,Lunch,
"Embedded Planets session, chaired by:Jiayin Dong",,
14:10-14:30,Eugene CHIANG,Accreting protoplanets
14:30-14:45,Yu WANG,Atmospheric recycling of volatiles by pebble-accreting planets
14:45-15:00,Kan CHEN,Planet gap opening feedback on disk thermal structure and composition
15:00-15:15, Michael HAMMER,"How to form compact & other longer-lived planet-induced vortices: VSI, planet migration, or re-triggers, but not feedback"
15:15-16:00,Coffee/Tea Break,
"Dust growth and planetesimal formation session, chaired by:Xuening Bai ",,
  16:00-16:20,Hau-Yu LIU ,A tale of pebble formation
16:20-16:40,Min-Kai LIN,Streaming instability: reborn
16:40-16:55,Rixin LI,"From dust to planetesimals, from young to evolved protoplanetary disks"
16:55-17:10,Pinghui HUANG,Dust clumping in outer turbulent protoplanetary disks
17:10-18:00,Poster,
18:00-20:00,Dinner,
