"Exoplanet Detection session, chaired by:XXX",,,,
8:50-9:00,,Teledyne intro, ,
9:00-9:20,Teruyuki HIRANO,,,Exoplanet detection and characterization by the InfraRed Doppler (IRD) instrument on Subaru
9:20-9:35,Huanyu TENG,,,The progress of east Asian planet search network
9:35-9:50,Qingru HU,,,TOI-677 b: A spin-orbit aligned yet eccentric warm Jupiter in a dynamically hot system
9:50-10:05,Zexuan WU,,,Gaia22dkvLb: A microlensing planet potentially accessible to radial-velocity characterization
10:05-10:50,Coffee/Tea Break,,,
"Circumplanetary Disk  session, chaired by:XXX",,,,
10:50-12:05,Yaping LI,,,3D global simulations of accretion onto gap-opening planets: implications for circumplanetary disc structures and accretion rates
11:05-11:20,Yixian Chen,,,Twists and turns in the circumplanetary flow pattern
11:20-11:35,Yuhiko AOYAMA,,,Planet-disk interaction in windy disks
11:35-11:50,Zhuo CHEN,,,Circumplanetary disks around gas giants
11:50-12:05,Cong YU,,,Boundary layers of circumplanetary disks with azimuthal magnetic field around spinning planets
12:05-13:30,Lunch,,,
13:30-18:00,Free Afternoon,,,
18:00-20:00,Dinner,,,
