"Planet System Assembly session, chaired by:Su Wang:",,
 9:00-9:20,Chris ORMEL,Origin of the TRAPPIST-1 planet system,http://i.astro.tsinghua.edu.cn/~cormel/Presentations/TrappistI/2023yanqing.html
   9:20-9:35,Mengrui PAN,Giant planet formation around M dwarfs
   9:35-9:50,Masahiro OGIHARA,Formation of diverse planetary systems from a ring in a disk with peaked gas density profile
 9:50-10:05,Haochang JIANG,Chicken or eggs? formation of planets from pebble rings
10:05-10:50,Coffee/Tea Break,
"Exolanet Demographics session, chaired by:Huigen Liu",,
10:50-11:10,Jiwei XIE,Planetary census through time and space aided by LAMOST-Gaia-Kepler,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FJiwei_XIE.pdf
11:10-11:25,Dichang CHEN,The evolution of hot Jupiters revealed by the age distribution of their host stars
11:25-11:40,Jiayin DONG,Deciphering origins of hot Jupiters through stellar obliquity distribution
11:40-12:00,Fabo FENG,A population of mutually inclined multi-planet systems,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FFabo_FENG.pdf
12:00-14:10,Lunch,
"Disk & Planet Composition session, chaired by:Man Hoi Lee",,
14:10-14:30,Shigeru Ida,The origin of significant carbon depletion in the inner Solar system,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FShigeru_Ida.pdf
14:30-14:50,Lile WANG,Computational microscopic foundations of planets and their formation
14:50-15:05,Hideko NOMURA,Carbon isotope chemistry: from protoplanetary disks to asteroid Ryugu,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FHideko_NOMURA.pdf
15:05-15:20,Misako TATSUUMA,Formation process of small solar system bodies and pebbles via self-gravitational compression of dust aggregates,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FMisako_TATSUUMA.pdf
15:20-16:00,Coffee/Tea Break,
"Exoplanet Atmosphere II session, chaired by:Xianyu Tan",,
16:00-16:15,Chuanfei DONG,Atmospheric escape from M-dwarf exoplanets and implications for habitability
16:15-16:30,Pengyu LIU,Direct imaging and atmosphere structures of giant exoplanets and brown dwarfs
16:30-16:45,Jianheng GUO,Characterizing regimes of hydrodynamic escape of low mass exoplanets by the upgraded Jeans parameter
16:45-17:00,Chenliang HUANG,A hydrodynamic study of the atmospheric escape of the hot Jupiter WASP-121b,https://cloud.tsinghua.edu.cn/d/037ee360168540b6a0a1/files/?p=%2FSlides%2Ftalks-19th-tue%2FChenliang_HUANG.pdf
